game_id,is_white,avg_pr,sesh_cnt,elo_diff,streak,result
ID0062,0,355.0000,12,-2,2,1.0
ID0063,1,252.0000,13,-10,-1,0.0
ID0064,0,208.0000,14,-2,1,1.0
ID0065,0,220.6667,15,6,2,1.0
ID0066,0,250.0000,1,-7,3,1.0
ID0067,1,282.5000,2,1,4,1.0
ID0068,1,396.6000,3,-8,-1,0.0
ID0069,0,419.0000,4,2,1,1.0
ID0070,0,207.3333,1,-26,2,1.0
ID0071,0,258.3000,2,-18,3,1.0
ID0072,1,251.6667,3,-9,4,1.0
ID0073,1,630.5000,1,-8,-1,0.0
ID0074,0,351.0000,2,-15,-2,0.0
ID0075,0,334.3333,3,-23,-3,0.0
ID0076,1,246.8000,4,-16,1,1.0
ID0077,1,265.6667,5,-8,2,1.0
ID0078,1,0.0000,6,-16,-1,0.0
ID0079,0,202.3333,7,-7,1,1.0
ID0080,1,250.8333,1,24,2,1.0
ID0081,0,0.0000,2,32,3,1.0
ID0082,0,123.0000,3,25,-1,0.0
ID0083,1,0.0000,4,34,1,1.0
ID0084,0,177.3333,1,16,2,1.0
ID0085,1,309.5000,1,-6,-1,0.0
ID0086,0,555.7500,2,-13,-2,0.0
ID0087,1,413.8000,3,-6,1,1.0
ID0088,0,254.0000,1,-19,-1,0.0
ID0089,1,0.0000,2,-11,1,1.0
ID0090,1,311.0000,1,8,2,1.0
ID0091,1,342.4444,1,-5,-1,0.0
ID0092,1,346.8000,2,3,1,1.0
ID0093,0,233.0000,3,-5,-1,0.0
ID0094,0,498.0000,4,-14,-2,0.0
ID0095,0,160.7500,5,-7,1,1.0
ID0096,1,552.3333,6,-15,-1,0.0
ID0097,0,205.2500,7,-6,1,1.0
ID0098,0,174.4000,8,2,2,1.0
ID0099,0,266.7500,9,-7,-1,0.0
ID0100,1,168.0000,10,-14,-2,0.0
ID0101,1,0.0000,11,-22,-3,0.0
ID0102,1,285.2500,12,-30,-4,0.0
ID0103,1,163.1667,13,-22,1,1.0
ID0104,1,120.5000,14,-14,2,1.0
ID0105,0,104.0000,15,-7,3,1.0
ID0106,0,237.1429,1,-8,-1,0.0
ID0107,1,284.7500,2,-15,-2,0.0
ID0108,0,585.0000,3,-25,-3,0.0
ID0109,0,272.5000,4,-16,1,1.0
ID0110,0,130.0000,5,-9,2,1.0
ID0111,1,260.0000,6,-1,3,1.0
ID0112,0,607.7500,7,-8,-1,0.0
ID0113,0,252.0000,8,-1,1,1.0
ID0114,1,131.0000,9,5,2,1.0
ID0115,1,0.0000,10,12,3,1.0
ID0116,1,480.5000,11,3,-1,0.0
ID0117,1,153.5000,12,-6,-2,0.0
ID0118,1,283.0000,13,2,1,1.0
ID0119,0,245.0000,14,-3,-1,0.0
ID0120,1,178.2500,15,5,1,1.0
ID0121,0,265.5000,16,13,2,1.0
ID0122,0,145.0000,1,-7,-1,0.0
ID0123,0,220.8333,2,-17,-2,0.0
ID0124,1,347.8750,3,-9,1,1.0
ID0125,0,522.0000,4,-14,-1,0.0
ID0126,1,223.0000,5,-7,1,1.0
ID0127,1,309.0000,6,-15,-1,0.0
ID0128,0,216.1667,7,-8,1,1.0
ID0129,1,505.1429,8,-16,-1,0.0
ID0130,0,284.0000,9,-25,-2,0.0
ID0131,1,166.0000,10,-24,1,0.5
ID0132,0,255.5000,11,-32,-1,0.0
ID0133,0,208.1429,12,-40,-2,0.0
ID0134,0,305.5000,13,-32,1,1.0
ID0135,1,293.7500,14,-24,2,1.0
ID0136,0,270.6667,15,-15,3,1.0
ID0137,1,183.2500,16,-8,4,1.0
ID0138,1,418.0000,17,-15,-1,0.0
ID0139,0,436.6667,18,-22,-2,0.0
ID0140,1,240.8000,19,-32,-3,0.0
ID0141,1,177.0000,20,-24,1,1.0
ID0142,0,189.0000,21,-14,2,1.0
ID0143,1,312.7500,1,-9,-1,0.0
ID0144,0,598.3333,2,-17,-2,0.0
ID0145,0,1055.0000,3,-25,-3,0.0
ID0146,1,136.0000,4,-17,1,1.0
ID0147,0,913.0000,5,-25,-1,0.0
ID0148,0,185.0000,6,-18,1,1.0
ID0149,1,328.3750,7,-9,2,1.0
ID0150,0,421.5000,8,-18,-1,0.0
ID0151,1,321.0000,9,-26,-2,0.0
ID0152,1,330.0000,10,-34,-3,0.0
ID0153,0,280.0000,11,-43,-4,0.0
ID0154,1,0.0000,12,-36,1,1.0
ID0155,1,388.0000,13,-28,2,1.0
ID0156,0,434.0000,14,-22,3,1.0
ID0157,1,138.0000,15,-30,-1,0.0
ID0158,0,401.3333,16,-21,1,1.0
ID0159,0,289.0000,17,-30,-1,0.0
ID0160,1,263.0000,18,-22,1,1.0
ID0161,0,365.2000,19,-16,2,1.0
ID0162,1,333.6000,20,-9,3,1.0
ID0163,0,417.0000,21,-16,-1,0.0
ID0164,1,267.0000,22,-23,-2,0.0
ID0165,1,257.0000,23,-34,-3,0.0
ID0166,0,491.0000,24,-40,-4,0.0
ID0167,1,249.5000,25,-48,-5,0.0
ID0168,1,0.0000,26,-41,1,1.0
ID0169,1,276.3333,27,-34,2,1.0
ID0170,0,243.7500,28,-42,-1,0.0
ID0171,1,101.0000,29,-51,-2,0.0
ID0172,0,302.0000,30,-42,1,1.0
ID0173,0,207.2500,31,-49,-1,0.0
ID0174,1,202.1667,32,-57,-2,0.0
ID0175,0,175.0000,33,-66,-3,0.0
ID0176,1,157.0000,34,-74,-4,0.0
ID0177,0,194.7273,35,-66,1,1.0
ID0178,0,212.2000,36,-59,2,1.0
ID0179,1,117.0000,37,-51,3,1.0
ID0180,1,148.2500,38,-60,-1,0.0
ID0181,0,205.6667,39,-68,-2,0.0
ID0182,1,579.7500,40,-58,1,1.0
ID0183,1,220.5000,41,-69,-1,0.0
ID0184,0,224.4000,42,-77,-2,0.0
ID0185,0,222.0000,43,-69,1,1.0
ID0186,1,141.3333,44,-60,2,1.0
ID0187,1,261.6667,45,-69,-1,0.0
ID0188,0,313.1667,46,-77,-2,0.0
ID0189,0,192.2500,47,-83,-3,0.0
ID0190,1,299.0000,48,-91,-4,0.0
ID0191,0,430.0000,49,-83,1,1.0
ID0192,0,387.6000,50,-90,-1,0.0
ID0193,0,495.0000,51,-97,-2,0.0
ID0194,1,298.6667,52,-104,-3,0.0
ID0195,1,350.0000,53,-112,-4,0.0
ID0196,1,368.6667,54,-104,1,1.0
ID0197,0,214.4286,55,-97,2,1.0
ID0198,1,136.0000,56,-105,-1,0.0
ID0199,1,369.1667,57,-105,1,0.5
ID0200,0,262.0000,58,-113,-1,0.0
ID0201,1,108.0000,59,-122,-2,0.0
ID0202,0,0.0000,60,-113,1,1.0
ID0203,0,128.6667,61,-122,-1,0.0
ID0204,0,184.4000,62,-115,1,1.0
ID0205,0,112.0000,63,-123,-1,0.0
ID0206,1,188.6000,64,-115,1,1.0
ID0207,1,0.0000,65,-107,2,1.0
ID0208,1,259.0000,66,-114,-1,0.0
ID0209,0,191.7500,67,-121,-2,0.0
ID0210,1,155.7500,68,-129,-3,0.0
ID0211,1,386.6667,69,-128,1,0.5
ID0212,0,539.5000,70,-136,-1,0.0
ID0213,1,348.6667,71,-129,1,1.0
ID0214,0,178.7500,72,-120,2,1.0
ID0215,0,284.0000,73,-128,-1,0.0
ID0216,0,0.0000,74,-137,-2,0.0
ID0217,1,359.7500,75,-145,-3,0.0
ID0218,0,348.6000,76,-137,1,1.0
ID0219,1,324.0000,77,-127,2,1.0
ID0220,1,135.0000,78,-134,-1,0.0
ID0221,1,227.1250,79,-142,-2,0.0
ID0222,1,136.3333,80,-135,1,1.0
ID0223,0,320.2500,81,-144,-1,0.0
ID0224,0,212.0000,82,-137,1,1.0
ID0225,0,168.0000,83,-128,2,1.0
ID0226,1,333.5714,84,-134,-1,0.0
ID0227,1,224.2857,85,-139,-2,0.0
ID0228,1,324.5000,86,-146,-3,0.0
ID0229,0,227.7500,87,-138,1,1.0
ID0230,0,504.8333,88,-131,2,1.0
ID0231,1,176.0000,1,8,3,1.0
ID0232,1,493.6000,2,7,1,0.5
ID0233,0,556.0000,3,14,1,1.0
ID0234,0,410.3333,4,13,1,0.5
ID0235,0,191.7143,5,4,-1,0.0
ID0236,1,0.0000,6,-3,-2,0.0
ID0237,0,241.8000,7,-10,-3,0.0
ID0238,0,238.0000,8,-2,1,1.0
ID0239,1,335.0000,9,-9,-1,0.0
ID0240,1,631.0000,10,-19,-2,0.0
ID0241,1,379.5000,11,-11,1,1.0
ID0242,0,359.5000,12,-19,-1,0.0
ID0243,1,388.8333,13,-11,1,1.0
ID0244,0,526.0000,14,-18,-1,0.0
ID0245,1,188.0000,15,-11,1,1.0
ID0246,0,165.0000,16,-20,-1,0.0
ID0247,0,230.6000,17,-26,-2,0.0
ID0248,1,404.0000,18,-35,-3,0.0
ID0249,0,216.4000,19,-28,1,1.0
ID0250,0,152.7500,20,-19,2,1.0
ID0251,0,298.2000,21,-28,-1,0.0
ID0252,1,364.2500,22,-20,1,1.0
ID0253,1,333.2000,23,-12,2,1.0
ID0254,1,317.0000,24,-6,3,1.0
ID0255,1,247.5000,25,2,4,1.0
ID0256,1,214.4000,26,10,5,1.0
ID0257,1,389.5000,27,2,-1,0.0
ID0258,0,193.5000,28,12,1,1.0
ID0259,0,0.0000,29,13,1,0.5
ID0260,1,222.3333,30,19,1,1.0
ID0261,0,234.4000,31,11,-1,0.0
ID0262,0,251.7500,32,2,-2,0.0
ID0263,1,254.2857,33,9,1,1.0
ID0264,0,240.5000,34,1,-1,0.0
ID0265,0,333.0000,35,-7,-2,0.0
ID0266,1,172.0000,36,1,1,1.0
ID0267,1,214.1250,37,-6,-1,0.0
ID0268,0,270.5000,38,-14,-2,0.0
ID0269,1,308.0000,39,-5,1,1.0
ID0270,0,327.0000,40,2,2,1.0
ID0271,1,925.0000,41,-6,-1,0.0
ID0272,1,536.0000,42,2,1,1.0
ID0273,0,259.3750,43,10,2,1.0
ID0274,0,0.0000,44,17,3,1.0
ID0275,1,266.1667,45,25,4,1.0
ID0276,0,313.7500,46,31,5,1.0
ID0277,0,0.0000,47,39,6,1.0
ID0278,1,221.0000,48,47,7,1.0
ID0279,0,171.5000,49,55,8,1.0
ID0280,0,215.3333,50,47,-1,0.0
ID0281,1,676.3333,51,56,1,1.0
ID0282,1,366.0000,52,50,-1,0.0
ID0283,1,166.6000,53,57,1,1.0
ID0284,1,103.0000,54,49,-1,0.0
ID0285,0,265.0000,55,57,1,1.0
ID0286,0,0.0000,56,64,2,1.0
ID0287,1,417.0000,57,57,-1,0.0
ID0288,0,355.0000,58,49,-2,0.0
ID0289,0,244.0000,59,57,1,1.0
ID0290,0,479.4286,60,67,2,1.0
ID0291,1,467.5000,61,58,-1,0.0
ID0292,0,376.2727,62,51,-2,0.0
ID0293,1,210.8000,63,41,-3,0.0
ID0294,0,190.5000,64,33,-4,0.0
ID0295,1,274.3333,65,24,-5,0.0
ID0296,0,354.5000,66,15,-6,0.0
ID0297,1,410.0000,67,25,1,1.0
ID0298,1,103.0000,68,31,2,1.0
ID0299,1,146.0000,69,38,3,1.0
ID0300,0,309.5000,70,33,-1,0.0
ID0301,0,0.0000,71,40,1,1.0
ID0302,1,297.1250,72,49,2,1.0
ID0303,0,110.0000,73,56,3,1.0
ID0304,1,255.1667,74,65,4,1.0
ID0305,0,193.7500,75,58,-1,0.0
ID0306,0,199.5000,76,50,-2,0.0
ID0307,0,0.0000,77,58,1,1.0
ID0308,1,123.0000,78,67,2,1.0
ID0309,1,369.3333,79,74,3,1.0
ID0310,1,224.5000,80,82,4,1.0
ID0311,1,0.0000,1,16,5,1.0
ID0312,0,738.5000,2,8,-1,0.0
ID0313,0,268.2857,3,-1,-2,0.0
ID0314,0,140.5000,4,-9,-3,0.0
ID0315,1,111.0000,5,-2,1,1.0
ID0316,0,234.3333,6,6,2,1.0
ID0317,1,224.0000,7,14,3,1.0
ID0318,1,609.1250,8,5,-1,0.0
ID0319,0,449.6667,9,3,1,0.5
ID0320,0,348.7500,10,-4,-1,0.0
ID0321,1,169.0000,11,-11,-2,0.0
ID0322,0,347.0000,12,-17,-3,0.0
ID0323,0,388.3333,13,-24,-4,0.0
ID0324,1,298.0000,14,-32,-5,0.0
ID0325,0,312.5000,15,-39,-6,0.0
ID0326,1,303.0000,16,-32,1,1.0
ID0327,1,231.5000,17,-24,2,1.0
ID0328,0,267.0000,18,-16,3,1.0
ID0329,0,353.8571,19,-24,-1,0.0
ID0330,1,457.6667,20,-32,-2,0.0
ID0331,1,211.4000,21,-40,-3,0.0
ID0332,0,234.6667,22,-47,-4,0.0
ID0333,1,327.7500,23,-57,-5,0.0
ID0334,0,319.1250,24,-65,-6,0.0
ID0335,0,238.8333,25,-65,1,0.5
ID0336,0,215.0000,26,-57,1,1.0
ID0337,1,314.5000,27,-65,-1,0.0
ID0338,1,191.5000,28,-72,-2,0.0
ID0339,0,144.6000,29,-66,1,1.0
ID0340,1,221.5714,30,-75,-1,0.0
ID0341,1,269.7500,31,-66,1,1.0
ID0342,0,170.0000,32,-74,-1,0.0
ID0343,1,270.0000,33,-67,1,1.0
ID0344,1,292.7500,34,-61,2,1.0
ID0345,0,387.2222,35,-53,3,1.0
ID0346,0,301.6667,36,-61,-1,0.0
ID0347,1,185.4000,37,-68,-2,0.0
ID0348,1,275.5000,38,-60,1,1.0
ID0349,0,145.7500,1,7,2,1.0
ID0350,0,473.0000,2,14,3,1.0
ID0351,0,301.0000,1,8,4,1.0
ID0352,1,289.0000,2,1,-1,0.0
ID0353,0,324.7500,3,-7,-2,0.0
ID0354,1,351.3750,4,0,1,1.0
ID0355,0,0.0000,5,8,2,1.0
ID0356,1,136.3333,6,8,1,0.5
ID0357,0,251.0000,7,17,1,1.0
ID0358,1,552.0000,1,-9,-1,0.0
ID0359,0,208.2500,2,-18,-2,0.0
ID0360,1,245.1667,3,-9,1,1.0
ID0361,1,268.2000,4,-2,2,1.0
ID0362,0,257.0000,5,-1,1,0.5
ID0363,0,120.5000,6,-10,-1,0.0
ID0364,0,452.0000,7,-18,-2,0.0
ID0365,1,280.0000,8,-25,-3,0.0
ID0366,0,0.0000,9,-16,1,1.0
ID0367,1,0.0000,10,-9,2,1.0
ID0368,0,239.6000,11,-1,3,1.0
ID0369,1,363.0000,12,7,4,1.0
ID0370,0,375.5000,13,-1,-1,0.0
ID0371,1,276.3333,14,6,1,1.0
ID0372,1,0.0000,15,14,2,1.0
ID0373,0,168.6667,1,-51,-1,0.0
ID0374,1,648.4000,2,-58,-2,0.0
ID0375,0,272.5000,3,-50,1,1.0
ID0376,0,303.0000,4,-57,-1,0.0
ID0377,1,181.0000,5,-65,-2,0.0
ID0378,0,293.3333,6,-73,-3,0.0
ID0379,0,352.9231,7,-72,1,0.5
ID0380,0,142.0000,8,-64,1,1.0
ID0381,1,248.8000,9,-57,2,1.0
ID0382,1,580.5000,10,-50,3,1.0
ID0383,1,185.0000,11,-58,-1,0.0
ID0384,0,276.2500,12,-66,-2,0.0
ID0385,1,121.0000,13,-58,1,1.0
ID0386,0,0.0000,14,-51,2,1.0
ID0387,1,345.0000,15,-58,-1,0.0
ID0388,1,284.6667,16,-51,1,1.0
ID0389,0,242.8333,17,-43,2,1.0
ID0390,1,280.4000,1,51,3,1.0
ID0391,0,474.5000,2,43,-1,0.0
ID0392,0,649.0000,3,35,-2,0.0
ID0393,0,287.0000,4,26,-3,0.0
ID0394,1,365.0000,5,19,-4,0.0
ID0395,0,504.6667,6,10,-5,0.0
ID0396,0,445.0000,7,1,-6,0.0
ID0397,1,386.6667,8,-7,-7,0.0
ID0398,1,593.0000,9,-16,-8,0.0
ID0399,1,529.0000,10,-8,1,1.0
ID0400,1,235.7500,11,0,2,1.0
ID0401,1,604.5000,12,9,3,1.0
ID0402,1,299.0000,13,1,-1,0.0
ID0403,0,332.1667,1,-8,-2,0.0
ID0404,0,188.0000,2,-17,-3,0.0
ID0405,1,196.3333,3,-10,1,1.0
ID0406,1,461.8571,4,-18,-1,0.0
ID0407,1,210.0000,5,-27,-2,0.0
ID0408,0,339.0000,6,-35,-3,0.0
ID0409,1,305.1429,7,-27,1,1.0
ID0410,0,0.0000,8,-37,-1,0.0
ID0411,0,279.7500,9,-30,1,1.0
ID0412,1,207.6667,1,7,2,1.0
ID0413,0,0.0000,2,16,3,1.0
ID0414,0,248.0000,3,23,4,1.0
ID0415,1,132.3333,4,15,-1,0.0
ID0416,0,172.0000,5,23,1,1.0
ID0417,1,495.0000,1,-10,-1,0.0
ID0418,1,284.7500,2,-18,-2,0.0
ID0419,0,193.0000,3,-11,1,1.0
ID0420,1,171.0000,4,-17,-1,0.0
ID0421,1,282.8333,5,-25,-2,0.0
ID0422,0,0.0000,6,-16,1,1.0
ID0423,1,299.0000,7,-25,-1,0.0
ID0424,0,505.6667,8,-32,-2,0.0
ID0425,0,245.3750,9,-24,1,1.0
ID0426,0,519.5000,10,-34,-1,0.0
ID0427,0,256.0000,11,-27,1,1.0
ID0428,0,548.5000,12,-36,-1,0.0
ID0429,1,275.0000,13,-27,1,1.0
ID0430,1,251.2000,14,-20,2,1.0
ID0431,1,285.5714,15,-29,-1,0.0
ID0432,1,610.0000,16,-38,-2,0.0
ID0433,0,348.4000,17,-30,1,1.0
ID0434,1,221.0000,18,-37,-1,0.0
ID0435,1,289.3333,19,-46,-2,0.0
ID0436,0,195.5000,20,-53,-3,0.0
ID0437,0,146.0000,21,-44,1,1.0
ID0438,0,263.2000,22,-52,-1,0.0
ID0439,0,231.0000,23,-60,-2,0.0
ID0440,1,337.6667,24,-68,-3,0.0
ID0441,0,495.0000,25,-76,-4,0.0
ID0442,1,389.3333,26,-69,1,1.0
ID0443,0,161.0000,27,-77,-1,0.0
ID0444,1,315.0000,28,-84,-2,0.0
ID0445,1,158.2500,29,-75,1,1.0
ID0446,1,150.5000,30,-68,2,1.0
ID0447,1,139.5000,31,-75,-1,0.0
ID0448,0,145.0000,32,-83,-2,0.0
ID0449,0,374.5000,33,-75,1,1.0
ID0450,0,0.0000,34,-82,-1,0.0
ID0451,1,339.4000,35,-73,1,1.0
ID0452,1,168.6667,36,-65,2,1.0
ID0453,1,455.7143,37,-72,-1,0.0
ID0454,0,294.3333,38,-80,-2,0.0
ID0455,0,204.8000,39,-71,1,1.0
ID0456,0,285.1429,40,-62,2,1.0
ID0457,0,162.0000,41,-54,3,1.0
ID0458,1,324.0000,42,-62,-1,0.0
ID0459,1,288.1250,43,-53,1,1.0
ID0460,0,483.0000,44,-61,-1,0.0
ID0461,0,208.6667,45,-68,-2,0.0
ID0462,1,611.0000,46,-75,-3,0.0
ID0463,1,346.3333,47,-68,1,1.0
ID0464,1,265.0000,48,-75,-1,0.0
ID0465,0,344.5000,49,-84,-2,0.0
ID0466,0,275.5000,50,-75,1,1.0
ID0467,0,399.0000,51,-76,1,0.5
ID0468,1,166.3333,52,-68,1,1.0
ID0469,0,237.5000,53,-77,-1,0.0
ID0470,1,312.5000,54,-68,1,1.0
ID0471,1,148.0000,55,-60,2,1.0
ID0472,0,176.4000,56,-68,-1,0.0
ID0473,1,294.4167,57,-75,-2,0.0
ID0474,1,444.3333,58,-67,1,1.0
ID0475,0,377.0000,59,-75,-1,0.0
ID0476,0,0.0000,60,-83,-2,0.0
ID0477,0,285.2500,61,-75,1,1.0
ID0478,1,402.0000,62,-66,2,1.0
ID0479,0,262.5000,63,-58,3,1.0
ID0480,1,275.7500,64,-49,4,1.0
ID0481,1,343.8000,65,-41,5,1.0
ID0482,0,135.0000,66,-33,6,1.0
ID0483,1,309.5714,67,-24,7,1.0
ID0484,0,228.3333,68,-15,8,1.0
ID0485,1,306.4000,69,-25,-1,0.0
ID0486,0,591.5000,70,-32,-2,0.0
ID0487,1,289.5000,71,-24,1,1.0
ID0488,0,257.3333,72,-24,1,0.5
ID0489,0,300.5000,73,-33,-1,0.0
ID0490,1,294.0000,74,-41,-2,0.0
ID0491,0,275.7143,75,-49,-3,0.0
ID0492,1,230.1667,76,-57,-4,0.0
ID0493,1,207.3333,77,-65,-5,0.0
ID0494,0,294.4286,78,-73,-6,0.0
ID0495,1,230.2500,79,-81,-7,0.0
ID0496,1,457.2000,80,-72,1,1.0
ID0497,0,214.0000,81,-66,2,1.0
ID0498,0,179.6667,82,-73,-1,0.0
ID0499,0,327.0000,83,-66,1,1.0
ID0500,0,390.0000,84,-74,-1,0.0
ID0501,1,432.2500,85,-81,-2,0.0
ID0502,0,311.8000,86,-90,-3,0.0
ID0503,1,328.5000,87,-81,1,1.0
ID0504,1,548.5000,88,-89,-1,0.0
ID0505,0,191.0000,89,-98,-2,0.0
ID0506,1,217.0000,90,-106,-3,0.0
ID0507,1,267.3333,91,-98,1,1.0
ID0508,0,235.0000,92,-90,2,1.0
ID0509,0,144.5000,93,-81,3,1.0
ID0510,0,259.8000,94,-73,4,1.0
ID0511,1,219.0000,95,-65,5,1.0
ID0512,0,304.6667,96,-72,-1,0.0
ID0513,0,135.0000,97,-64,1,1.0
ID0514,1,226.3333,98,-73,-1,0.0
ID0515,1,287.0000,99,-66,1,1.0
ID0516,1,218.0000,100,-58,2,1.0
ID0517,0,406.7500,101,-50,3,1.0
ID0518,0,156.6667,102,-58,-1,0.0
ID0519,1,529.3750,103,-65,-2,0.0
ID0520,0,253.3333,104,-72,-3,0.0
ID0521,0,354.0000,105,-64,1,1.0
ID0522,1,484.1111,106,-56,2,1.0
ID0523,1,206.5714,107,-47,3,1.0
ID0524,0,366.0000,108,-54,-1,0.0
ID0525,1,296.1429,109,-62,-2,0.0
ID0526,0,475.5000,110,-69,-3,0.0
ID0527,1,246.6667,111,-60,1,1.0
ID0528,1,442.2500,112,-68,-1,0.0
ID0529,0,165.3333,113,-61,1,1.0
ID0530,0,305.2000,114,-54,2,1.0
ID0531,1,0.0000,115,-47,3,1.0
ID0532,0,245.2500,116,-37,4,1.0
ID0533,1,103.0000,1,-1,1,0.5
ID0534,1,222.1429,2,-10,-1,0.0
ID0535,1,179.0000,3,-1,1,1.0
ID0536,0,409.0000,4,-10,-1,0.0
ID0537,1,270.6667,5,-1,1,1.0
ID0538,1,373.5000,6,6,2,1.0
ID0539,0,364.0000,7,-1,-1,0.0
ID0540,0,239.0000,8,-9,-2,0.0
ID0541,0,280.0000,9,-16,-3,0.0
ID0542,1,194.0000,10,-8,1,1.0
ID0543,1,0.0000,11,0,2,1.0
ID0544,0,430.0000,1,9,3,1.0
ID0545,1,138.0000,1,8,4,1.0
ID0546,1,344.5000,1,8,5,1.0
ID0547,0,426.5000,2,16,6,1.0
ID0548,1,175.0000,3,24,7,1.0
ID0549,0,108.6667,4,16,-1,0.0
ID0550,0,292.6667,5,9,-2,0.0
ID0551,1,126.0000,6,17,1,1.0
ID0552,0,166.0000,7,26,2,1.0
ID0553,0,122.0000,8,20,-1,0.0
ID0554,1,796.0000,9,10,-2,0.0
ID0555,1,183.7500,10,2,-3,0.0
ID0556,1,158.6667,11,12,1,1.0
ID0557,0,422.0000,12,1,-1,0.0
ID0558,0,340.5000,13,9,1,1.0
ID0559,1,279.5000,14,3,-1,0.0
ID0560,1,183.0000,15,11,1,1.0
ID0561,0,0.0000,16,19,2,1.0
ID0562,0,212.2500,17,27,3,1.0
ID0563,0,336.2000,18,18,-1,0.0
ID0564,1,187.0000,19,9,-2,0.0
ID0565,0,366.0000,20,1,-3,0.0
ID0566,1,315.5000,21,9,1,1.0
ID0567,1,247.6667,22,0,-1,0.0
ID0568,1,201.8571,23,8,1,1.0
ID0569,0,232.0000,24,18,2,1.0
ID0570,0,295.3333,25,26,3,1.0
ID0571,1,112.0000,1,6,4,1.0
ID0572,0,377.4000,1,-8,-1,0.0
ID0573,0,0.0000,2,0,1,1.0
ID0574,1,370.8571,1,-8,-1,0.0
ID0575,1,295.0000,2,0,1,1.0
ID0576,0,436.2222,3,-7,-1,0.0
ID0577,1,300.3750,4,1,1,1.0
ID0578,1,508.0000,5,9,2,1.0
ID0579,1,366.5000,6,2,-1,0.0
ID0580,0,255.8333,7,10,1,1.0
ID0581,0,155.6667,8,17,2,1.0
ID0582,0,0.0000,9,25,3,1.0
ID0583,0,229.6667,10,34,4,1.0
ID0584,1,0.0000,11,42,5,1.0
ID0585,1,553.5000,12,48,6,1.0
ID0586,0,318.8333,1,-106,-1,0.0
ID0587,0,222.5000,2,-98,1,1.0
ID0588,0,184.0000,1,105,2,1.0
ID0589,1,481.6667,2,97,-1,0.0
ID0590,0,260.7143,3,89,-2,0.0
ID0591,0,362.0000,4,96,1,1.0
ID0592,1,254.5000,5,87,-1,0.0
ID0593,1,384.0000,1,-7,-2,0.0
ID0594,0,358.0000,2,-14,-3,0.0
ID0595,0,324.4000,3,-21,-4,0.0
ID0596,0,386.0000,4,-21,1,0.5
ID0597,1,132.0000,5,-14,1,1.0
ID0598,1,233.3333,6,-23,-1,0.0
ID0599,0,0.0000,7,-15,1,1.0
ID0600,1,311.0000,8,-22,-1,0.0
